Overall mesg ix,Timestamp (field 253) raw value,Timestamp (field 253) localtime string,Timestamp value that is compatible with Libre,Seconds diff from last value,ElapsedTimer in h:mm:ss,TotalTimer in h:mm:ss (pause time excluded),Mesg name,Mesg no,Mesg ix (field 253) if applicable,Event type and data,Distance in m,Enh speed in min/sec hh:mm:ss string,Enh speed in m/s value,Cadence
0,,,,,,,FILE_ID(0),0,,,,,,
1,,,,,,,FILE_CREATOR(49),49,,,,,,
2,1142240591,2026-03-12 10:03:11,46093.418877314820,,0:00:00,0:00:00,ACTIVITY(34),34,,,,,,
3,1142254685,2026-03-12 13:58:05,46093.582002314810,14094,3:54:54,1:54:25,activity_metrics(140),140,,,,,,
4,1142240591,2026-03-12 10:03:11,46093.418877314820,-14094,0:00:00,0:00:00,SESSION(18),18,0,,,,,
5,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
6,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,0,,,,,
7,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
8,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,1,,,,,
9,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
10,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,2,,,,,
11,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
12,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,3,,,,,
13,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
14,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,4,,,,,
15,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
16,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,5,,,,,
17,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
18,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,6,,,,,
19,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
20,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,7,,,,,
21,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
22,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,8,,,,,
23,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
24,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,9,,,,,
25,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
26,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,10,,,,,
27,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
28,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,11,,,,,
29,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
30,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,12,,,,,
31,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
32,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,13,,,,,
33,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
34,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,14,,,,,
35,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
36,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,15,,,,,
37,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
38,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,16,,,,,
39,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
40,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,17,,,,,
41,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
42,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,18,,,,,
43,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
44,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,19,,,,,
45,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
46,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,20,,,,,
47,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
48,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,21,,,,,
49,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
50,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,22,,,,,
51,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
52,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,23,,,,,
53,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
54,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,LAP(19),19,24,,,,,
55,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
56,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,unknown(288),288,,,,,,
57,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,unknown(327),327,,,,,,
58,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,unknown(327),327,,,,,,
59,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,gps_event(326),326,,,,,,
60,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TIMESTAMP_CORRELATION(162),162,,,,,,
61,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,EVENT(21),21,,TIMER/START data=0,,,,
62,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
63,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
64,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
65,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
66,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
67,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
68,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
69,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
70,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
71,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
72,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,device_used(22),22,,,,,,
73,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,epo_status(141),141,,,,,,
74,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,cpe_status(394),394,,,,,,
75,,,,,,,DEVICE_SETTINGS(2),2,,,,,,
76,,,,,,,USER_PROFILE(3),3,,,,,,
77,,,,,,,sensor_settings(147),147,0,,,,,
78,,,,,,,sensor_settings(147),147,1,,,,,
79,,,,,,,sensor_settings(147),147,2,,,,,
80,,,,,,,sensor_settings(147),147,3,,,,,
81,,,,,,,sensor_settings(147),147,4,,,,,
82,,,,,,,sensor_settings(147),147,5,,,,,
83,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,user_metrics(79),79,,,,,,
84,,,,,,,SPORT(12),12,,,,,,
85,,,,,,,TRAINING_SETTINGS(13),13,0,,,,,
86,,,,,,,ZONES_TARGET(7),7,4,,,,,
87,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,TRAINING_FILE(72),72,,,,,,
88,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,RECORD(20),20,,,0.0,0:20:25,0.816,
89,,,,,,,GPS_METADATA(160),160,,,,,,
90,,,,,,,unknownx(233),233,,,,,,
91,1142240591,2026-03-12 10:03:11,46093.418877314820,0,0:00:00,0:00:00,UNKNOWN(499),499,,,,,,
92,1142240592,2026-03-12 10:03:12,46093.418888888890,1,0:00:01,0:00:01,RECORD(20),20,,,0.0,0:26:17,0.634,
93,,,,,,,GPS_METADATA(160),160,,,,,,
94,,,,,,,unknownx(233),233,,,,,,
95,1142240593,2026-03-12 10:03:13,46093.418900462960,1,0:00:02,0:00:02,RECORD(20),20,,,0.0,0:38:56,0.428,
96,,,,,,,GPS_METADATA(160),160,,,,,,
97,,,,,,,unknownx(233),233,,,,,,
98,1142240594,2026-03-12 10:03:14,46093.418912037036,1,0:00:03,0:00:03,RECORD(20),20,,,0.2,0:47:29,0.351,
99,,,,,,,GPS_METADATA(160),160,,,,,,
100,,,,,,,unknownx(233),233,,,,,,
101,1142240595,2026-03-12 10:03:15,46093.418923611110,1,0:00:04,0:00:04,RECORD(20),20,,,0.2,0:47:29,0.351,
102,,,,,,,GPS_METADATA(160),160,,,,,,
103,,,,,,,unknownx(233),233,,,,,,
104,1142240596,2026-03-12 10:03:16,46093.418935185180,1,0:00:05,0:00:05,device_used(22),22,,,,,,
105,1142240596,2026-03-12 10:03:16,46093.418935185180,0,0:00:05,0:00:05,RECORD(20),20,,,0.4,0:38:56,0.428,
106,,,,,,,GPS_METADATA(160),160,,,,,,
107,,,,,,,unknownx(233),233,,,,,,
108,1142240597,2026-03-12 10:03:17,46093.418946759260,1,0:00:06,0:00:06,RECORD(20),20,,,0.4,1:09:44,0.239,
109,,,,,,,GPS_METADATA(160),160,,,,,,
110,,,,,,,unknownx(233),233,,,,,,
111,1142240598,2026-03-12 10:03:18,46093.418958333335,1,0:00:07,0:00:07,RECORD(20),20,,,0.4,1:09:44,0.239,
112,,,,,,,GPS_METADATA(160),160,,,,,,
113,,,,,,,unknownx(233),233,,,,,,
114,1142240599,2026-03-12 10:03:19,46093.418969907405,1,0:00:08,0:00:08,RECORD(20),20,,,0.4,1:09:44,0.239,
115,,,,,,,GPS_METADATA(160),160,,,,,,
116,,,,,,,unknownx(233),233,,,,,,
117,1142240600,2026-03-12 10:03:20,46093.418981481480,1,0:00:09,0:00:09,RECORD(20),20,,,0.4,1:48:14,0.154,
118,,,,,,,GPS_METADATA(160),160,,,,,,
119,,,,,,,unknownx(233),233,,,,,,
120,1142240601,2026-03-12 10:03:21,46093.418993055560,1,0:00:10,0:00:10,RECORD(20),20,,,0.4,1:49:39,0.152,
121,,,,,,,GPS_METADATA(160),160,,,,,,
122,,,,,,,unknownx(233),233,,,,,,
123,1142240602,2026-03-12 10:03:22,46093.419004629630,1,0:00:11,0:00:11,RECORD(20),20,,,0.4,1:48:14,0.154,
124,,,,,,,GPS_METADATA(160),160,,,,,,
125,,,,,,,unknownx(233),233,,,,,,
126,1142240603,2026-03-12 10:03:23,46093.419016203705,1,0:00:12,0:00:12,RECORD(20),20,,,0.9,2:08:12,0.130,
127,,,,,,,GPS_METADATA(160),160,,,,,,
128,,,,,,,unknownx(233),233,,,,,,
129,1142240604,2026-03-12 10:03:24,46093.419027777780,1,0:00:13,0:00:13,RECORD(20),20,,,0.9,3:28:20,0.080,
130,,,,,,,GPS_METADATA(160),160,,,,,,
131,,,,,,,unknownx(233),233,,,,,,
132,1142240605,2026-03-12 10:03:25,46093.419039351850,1,0:00:14,0:00:14,RECORD(20),20,,,0.9,2:16:37,0.122,
133,,,,,,,GPS_METADATA(160),160,,,,,,
134,,,,,,,unknownx(233),233,,,,,,
135,1142240606,2026-03-12 10:03:26,46093.419050925920,1,0:00:15,0:00:15,RECORD(20),20,,,0.9,2:08:12,0.130,
136,,,,,,,GPS_METADATA(160),160,,,,,,
137,,,,,,,unknownx(233),233,,,,,,
138,1142240607,2026-03-12 10:03:27,46093.419062500005,1,0:00:16,0:00:16,RECORD(20),20,,,1.0,2:08:12,0.130,
139,,,,,,,GPS_METADATA(160),160,,,,,,
140,1142240607,2026-03-12 10:03:27,46093.419062500005,0,0:00:16,0:00:16,unknown(325),325,,,,,,
141,,,,,,,unknownx(233),233,,,,,,
142,1142240608,2026-03-12 10:03:28,46093.419074074074,1,0:00:17,0:00:17,RECORD(20),20,,,1.0,1:11:32,0.233,
143,,,,,,,GPS_METADATA(160),160,,,,,,
144,,,,,,,unknownx(233),233,,,,,,
145,1142240609,2026-03-12 10:03:29,46093.419085648144,1,0:00:18,0:00:18,RECORD(20),20,,,1.2,0:54:28,0.306,
146,,,,,,,GPS_METADATA(160),160,,,,,,
147,,,,,,,unknownx(233),233,,,,,,
148,1142240610,2026-03-12 10:03:30,46093.419097222220,1,0:00:19,0:00:19,RECORD(20),20,,,1.2,0:54:28,0.306,
149,,,,,,,GPS_METADATA(160),160,,,,,,
150,,,,,,,unknownx(233),233,,,,,,
151,1142240611,2026-03-12 10:03:31,46093.419108796300,1,0:00:20,0:00:20,RECORD(20),20,,,1.2,1:11:32,0.233,
152,,,,,,,GPS_METADATA(160),160,,,,,,
153,,,,,,,unknownx(233),233,,,,,,
154,1142240612,2026-03-12 10:03:32,46093.419120370370,1,0:00:21,0:00:21,RECORD(20),20,,,1.2,2:00:46,0.138,
155,,,,,,,GPS_METADATA(160),160,,,,,,
156,,,,,,,unknownx(233),233,,,,,,
157,1142240612,2026-03-12 10:03:32,46093.419120370370,0,0:00:21,0:00:21,unknown(325),325,,,,,,
158,1142240613,2026-03-12 10:03:33,46093.419131944440,1,0:00:22,0:00:22,RECORD(20),20,,,1.2,2:37:14,0.106,
159,,,,,,,GPS_METADATA(160),160,,,,,,
160,,,,,,,unknownx(233),233,,,,,,
161,1142240614,2026-03-12 10:03:34,46093.419143518520,1,0:00:23,0:00:23,RECORD(20),20,,,1.2,2:37:14,0.106,
162,,,,,,,GPS_METADATA(160),160,,,,,,
163,,,,,,,unknownx(233),233,,,,,,
164,1142240615,2026-03-12 10:03:35,46093.419155092590,1,0:00:24,0:00:24,RECORD(20),20,,,2.7,2:37:14,0.106,
165,,,,,,,GPS_METADATA(160),160,,,,,,
166,,,,,,,unknownx(233),233,,,,,,
167,1142240616,2026-03-12 10:03:36,46093.419166666670,1,0:00:25,0:00:25,RECORD(20),20,,,3.1,0:28:12,0.591,
168,,,,,,,GPS_METADATA(160),160,,,,,,
169,,,,,,,unknownx(233),233,,,,,,
170,1142240617,2026-03-12 10:03:37,46093.419178240740,1,0:00:26,0:00:26,RECORD(20),20,,,3.5,0:28:12,0.591,
171,,,,,,,GPS_METADATA(160),160,,,,,,
172,,,,,,,unknownx(233),233,,,,,,
173,1142240618,2026-03-12 10:03:38,46093.419189814810,1,0:00:27,0:00:27,RECORD(20),20,,,4.8,0:26:30,0.629,
174,,,,,,,GPS_METADATA(160),160,,,,,,
175,,,,,,,unknownx(233),233,,,,,,
176,1142240619,2026-03-12 10:03:39,46093.419201388890,1,0:00:28,0:00:28,RECORD(20),20,,,7.0,0:16:30,1.010,
177,,,,,,,GPS_METADATA(160),160,,,,,,
178,,,,,,,unknownx(233),233,,,,,,
179,1142240620,2026-03-12 10:03:40,46093.419212962970,1,0:00:29,0:00:29,RECORD(20),20,,,9.2,0:14:16,1.168,
180,,,,,,,GPS_METADATA(160),160,,,,,,
181,,,,,,,unknownx(233),233,,,,,,
182,1142240621,2026-03-12 10:03:41,46093.419224537036,1,0:00:30,0:00:30,RECORD(20),20,,,10.5,0:14:02,1.187,
183,,,,,,,GPS_METADATA(160),160,,,,,,
184,,,,,,,unknownx(233),233,,,,,,
185,1142240622,2026-03-12 10:03:42,46093.419236111110,1,0:00:31,0:00:31,RECORD(20),20,,,11.7,0:14:02,1.187,
186,,,,,,,GPS_METADATA(160),160,,,,,,
187,,,,,,,unknownx(233),233,,,,,,
188,1142240623,2026-03-12 10:03:43,46093.419247685190,1,0:00:32,0:00:32,RECORD(20),20,,,13.4,0:11:18,1.476,
189,,,,,,,GPS_METADATA(160),160,,,,,,
190,,,,,,,unknownx(233),233,,,,,,
191,1142240624,2026-03-12 10:03:44,46093.419259259260,1,0:00:33,0:00:33,RECORD(20),20,,,15.5,0:11:18,1.476,
192,,,,,,,GPS_METADATA(160),160,,,,,,
193,,,,,,,unknownx(233),233,,,,,,
194,1142240625,2026-03-12 10:03:45,46093.419270833330,1,0:00:34,0:00:34,RECORD(20),20,,,18.1,0:08:50,1.886,
195,,,,,,,GPS_METADATA(160),160,,,,,,
