Overall mesg ix,Timestamp (field 253) raw value,Timestamp (field 253) localtime string,Timestamp value that is compatible with Libre,Seconds diff from last value,ElapsedTimer in h:mm:ss,TotalTimer in h:mm:ss (pause time excluded),Mesg name,Mesg no,Mesg ix (field 253) if applicable,Event type and data,Distance in m,Enh speed in min/sec hh:mm:ss string,Enh speed in m/s value,Cadence
0,,,,,,,FILE_ID(0),0,,,,,,
1,,,,,,,FILE_CREATOR(49),49,,,,,,
2,1144923450,2026-04-12 12:17:30,46124.512152777780,,0:00:00,0:00:00,ACTIVITY(34),34,,,,,,
3,1144925696,2026-04-12 12:54:56,46124.538148148145,2246,0:37:26,0:36:22,activity_metrics(140),140,,,,,,
4,1144923450,2026-04-12 12:17:30,46124.512152777780,-2246,0:00:00,0:00:00,SESSION(18),18,0,,,,,
5,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
6,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,LAP(19),19,0,,,,,
7,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
8,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,LAP(19),19,1,,,,,
9,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
10,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,LAP(19),19,2,,,,,
11,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
12,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,LAP(19),19,3,,,,,
13,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
14,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,LAP(19),19,4,,,,,
15,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
16,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,LAP(19),19,5,,,,,
17,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
18,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,SPLIT(312),312,0,,,,,
19,,,,,,,TIME_IN_ZONE(216),216,,,,,,
20,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,SPLIT(312),312,1,,,,,
21,,,,,,,TIME_IN_ZONE(216),216,,,,,,
22,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,SPLIT(312),312,2,,,,,
23,,,,,,,TIME_IN_ZONE(216),216,,,,,,
24,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,SPLIT(312),312,3,,,,,
25,,,,,,,TIME_IN_ZONE(216),216,,,,,,
26,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,SPLIT(312),312,4,,,,,
27,,,,,,,TIME_IN_ZONE(216),216,,,,,,
28,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,SPLIT(312),312,5,,,,,
29,,,,,,,TIME_IN_ZONE(216),216,,,,,,
30,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,SPLIT(312),312,6,,,,,
31,,,,,,,TIME_IN_ZONE(216),216,,,,,,
32,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,SPLIT(312),312,7,,,,,
33,,,,,,,TIME_IN_ZONE(216),216,,,,,,
34,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,SPLIT(312),312,8,,,,,
35,,,,,,,TIME_IN_ZONE(216),216,,,,,,
36,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,SPLIT(312),312,9,,,,,
37,,,,,,,TIME_IN_ZONE(216),216,,,,,,
38,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,SPLIT(312),312,10,,,,,
39,,,,,,,TIME_IN_ZONE(216),216,,,,,,
40,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,SPLIT(312),312,11,,,,,
41,,,,,,,TIME_IN_ZONE(216),216,,,,,,
42,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,SPLIT_SUMMARY(313),313,0,,,,,
43,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,SPLIT_SUMMARY(313),313,1,,,,,
44,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,SPLIT_SUMMARY(313),313,2,,,,,
45,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,SPLIT_SUMMARY(313),313,3,,,,,
46,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,unknown(288),288,,,,,,
47,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,unknown(327),327,,,,,,
48,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,unknown(327),327,,,,,,
49,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,gps_event(326),326,,,,,,
50,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,TIMESTAMP_CORRELATION(162),162,,,,,,
51,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,EVENT(21),21,,TIMER/START data=0,,,,
52,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
53,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
54,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
55,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
56,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
57,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
58,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
59,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
60,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
61,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,device_used(22),22,,,,,,
62,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,epo_status(141),141,,,,,,
63,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,cpe_status(394),394,,,,,,
64,,,,,,,DEVICE_SETTINGS(2),2,,,,,,
65,,,,,,,USER_PROFILE(3),3,,,,,,
66,,,,,,,sensor_settings(147),147,0,,,,,
67,,,,,,,sensor_settings(147),147,1,,,,,
68,,,,,,,sensor_settings(147),147,2,,,,,
69,,,,,,,sensor_settings(147),147,3,,,,,
70,,,,,,,sensor_settings(147),147,4,,,,,
71,,,,,,,sensor_settings(147),147,5,,,,,
72,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,user_metrics(79),79,,,,,,
73,,,,,,,SPORT(12),12,,,,,,
74,,,,,,,TRAINING_SETTINGS(13),13,0,,,,,
75,,,,,,,ZONES_TARGET(7),7,1,,,,,
76,1144923450,2026-04-12 12:17:30,46124.512152777780,0,0:00:00,0:00:00,RECORD(20),20,,,0.0,,0.000,0
77,,,,,,,unknownx(233),233,,,,,,
78,,,,,,,GPS_METADATA(160),160,,,,,,
79,1144923451,2026-04-12 12:17:31,46124.512164351850,1,0:00:01,0:00:01,device_used(22),22,,,,,,
80,1144923451,2026-04-12 12:17:31,46124.512164351850,0,0:00:01,0:00:01,RECORD(20),20,,,1.9,,0.000,0
81,,,,,,,unknownx(233),233,,,,,,
82,,,,,,,GPS_METADATA(160),160,,,,,,
83,1144923452,2026-04-12 12:17:32,46124.512175925930,1,0:00:02,0:00:02,device_used(22),22,,,,,,
84,1144923452,2026-04-12 12:17:32,46124.512175925930,0,0:00:02,0:00:02,RECORD(20),20,,,1.9,0:07:58,2.090,37
85,,,,,,,unknownx(233),233,,,,,,
86,,,,,,,GPS_METADATA(160),160,,,,,,
87,1144923453,2026-04-12 12:17:33,46124.512187500004,1,0:00:03,0:00:03,RECORD(20),20,,,2.4,0:02:34,6.513,66
88,,,,,,,unknownx(233),233,,,,,,
89,,,,,,,GPS_METADATA(160),160,,,,,,
90,1144923453,2026-04-12 12:17:33,46124.512187500004,0,0:00:03,0:00:03,unknown(325),325,,,,,,
91,1144923453,2026-04-12 12:17:33,46124.512187500004,0,0:00:03,0:00:03,UNKNOWN(499),499,,,,,,
92,1144923454,2026-04-12 12:17:34,46124.512199074070,1,0:00:04,0:00:04,DEVICE_INFO(23),23,,,,,,
93,1144923454,2026-04-12 12:17:34,46124.512199074070,0,0:00:04,0:00:04,RECORD(20),20,,,4.0,0:07:58,2.090,66
94,,,,,,,unknownx(233),233,,,,,,
95,,,,,,,GPS_METADATA(160),160,,,,,,
96,1144923455,2026-04-12 12:17:35,46124.512210648140,1,0:00:05,0:00:05,RECORD(20),20,,,5.2,0:05:54,2.827,66
97,,,,,,,unknownx(233),233,,,,,,
98,,,,,,,GPS_METADATA(160),160,,,,,,
99,1144923456,2026-04-12 12:17:36,46124.512222222230,1,0:00:06,0:00:06,device_used(22),22,,,,,,
100,1144923456,2026-04-12 12:17:36,46124.512222222230,0,0:00:06,0:00:06,RECORD(20),20,,,7.7,0:08:35,1.941,0
101,,,,,,,unknownx(233),233,,,,,,
102,,,,,,,GPS_METADATA(160),160,,,,,,
103,1144923457,2026-04-12 12:17:37,46124.512233796300,1,0:00:07,0:00:07,RECORD(20),20,,,9.6,0:06:24,2.603,51
104,,,,,,,unknownx(233),233,,,,,,
105,1144923458,2026-04-12 12:17:38,46124.512245370366,1,0:00:08,0:00:08,RECORD(20),20,,,9.6,0:07:00,2.379,73
106,,,,,,,unknownx(233),233,,,,,,
107,,,,,,,GPS_METADATA(160),160,,,,,,
108,1144923458,2026-04-12 12:17:38,46124.512245370366,0,0:00:08,0:00:08,unknown(325),325,,,,,,
109,1144923459,2026-04-12 12:17:39,46124.512256944440,1,0:00:09,0:00:09,device_used(22),22,,,,,,
110,1144923459,2026-04-12 12:17:39,46124.512256944440,0,0:00:09,0:00:09,RECORD(20),20,,,13.2,0:06:24,2.603,80
111,,,,,,,unknownx(233),233,,,,,,
112,,,,,,,GPS_METADATA(160),160,,,,,,
113,1144923460,2026-04-12 12:17:40,46124.512268518520,1,0:00:10,0:00:10,device_used(22),22,,,,,,
114,1144923460,2026-04-12 12:17:40,46124.512268518520,0,0:00:10,0:00:10,RECORD(20),20,,,14.3,0:06:27,2.585,83
115,,,,,,,unknownx(233),233,,,,,,
116,,,,,,,GPS_METADATA(160),160,,,,,,
117,1144923461,2026-04-12 12:17:41,46124.512280092590,1,0:00:11,0:00:11,RECORD(20),20,,,16.4,0:06:49,2.445,82
118,,,,,,,unknownx(233),233,,,,,,
119,,,,,,,GPS_METADATA(160),160,,,,,,
120,1144923462,2026-04-12 12:17:42,46124.512291666666,1,0:00:12,0:00:12,device_used(22),22,,,,,,
121,1144923462,2026-04-12 12:17:42,46124.512291666666,0,0:00:12,0:00:12,RECORD(20),20,,,18.5,0:06:15,2.669,82
122,,,,,,,unknownx(233),233,,,,,,
123,,,,,,,GPS_METADATA(160),160,,,,,,
124,1144923463,2026-04-12 12:17:43,46124.512303240740,1,0:00:13,0:00:13,RECORD(20),20,,,19.6,0:07:40,2.174,82
125,,,,,,,unknownx(233),233,,,,,,
126,,,,,,,GPS_METADATA(160),160,,,,,,
127,1144923464,2026-04-12 12:17:44,46124.512314814810,1,0:00:14,0:00:14,RECORD(20),20,,,21.5,0:07:52,2.118,82
128,,,,,,,unknownx(233),233,,,,,,
129,,,,,,,GPS_METADATA(160),160,,,,,,
130,1144923465,2026-04-12 12:17:45,46124.512326388890,1,0:00:15,0:00:15,RECORD(20),20,,,23.1,0:09:04,1.838,22
131,,,,,,,unknownx(233),233,,,,,,
132,,,,,,,GPS_METADATA(160),160,,,,,,
133,1144923466,2026-04-12 12:17:46,46124.512337962966,1,0:00:16,0:00:16,RECORD(20),20,,,25.5,0:09:33,1.745,22
134,,,,,,,unknownx(233),233,,,,,,
135,,,,,,,GPS_METADATA(160),160,,,,,,
136,1144923467,2026-04-12 12:17:47,46124.512349537035,1,0:00:17,0:00:17,RECORD(20),20,,,27.4,0:09:04,1.838,59
137,,,,,,,unknownx(233),233,,,,,,
138,,,,,,,GPS_METADATA(160),160,,,,,,
139,1144923468,2026-04-12 12:17:48,46124.512361111110,1,0:00:18,0:00:18,DEVICE_INFO(23),23,,,,,,
140,1144923468,2026-04-12 12:17:48,46124.512361111110,0,0:00:18,0:00:18,device_used(22),22,,,,,,
141,1144923468,2026-04-12 12:17:48,46124.512361111110,0,0:00:18,0:00:18,RECORD(20),20,,,29.4,0:08:26,1.978,84
142,,,,,,,unknownx(233),233,,,,,,
143,,,,,,,GPS_METADATA(160),160,,,,,,
144,1144923469,2026-04-12 12:17:49,46124.512372685190,1,0:00:19,0:00:19,RECORD(20),20,,,31.8,0:08:26,1.978,84
145,,,,,,,unknownx(233),233,,,,,,
146,,,,,,,GPS_METADATA(160),160,,,,,,
147,1144923470,2026-04-12 12:17:50,46124.512384259260,1,0:00:20,0:00:20,DEVICE_INFO(23),23,,,,,,
148,1144923470,2026-04-12 12:17:50,46124.512384259260,0,0:00:20,0:00:20,RECORD(20),20,,,33.6,0:08:26,1.978,84
149,,,,,,,unknownx(233),233,,,,,,
150,,,,,,,GPS_METADATA(160),160,,,,,,
151,1144923471,2026-04-12 12:17:51,46124.512395833330,1,0:00:21,0:00:21,DEVICE_INFO(23),23,,,,,,
152,1144923471,2026-04-12 12:17:51,46124.512395833330,0,0:00:21,0:00:21,RECORD(20),20,,,36.2,0:08:16,2.015,84
153,,,,,,,unknownx(233),233,,,,,,
154,,,,,,,GPS_METADATA(160),160,,,,,,
155,1144923472,2026-04-12 12:17:52,46124.512407407410,1,0:00:22,0:00:22,RECORD(20),20,,,38.0,0:08:09,2.043,86
156,,,,,,,unknownx(233),233,,,,,,
157,,,,,,,GPS_METADATA(160),160,,,,,,
158,1144923473,2026-04-12 12:17:53,46124.512418981480,1,0:00:23,0:00:23,RECORD(20),20,,,40.0,0:08:03,2.071,85
159,,,,,,,unknownx(233),233,,,,,,
160,,,,,,,GPS_METADATA(160),160,,,,,,
161,1144923474,2026-04-12 12:17:54,46124.512430555550,1,0:00:24,0:00:24,RECORD(20),20,,,41.7,0:08:03,2.071,84
162,,,,,,,unknownx(233),233,,,,,,
163,,,,,,,GPS_METADATA(160),160,,,,,,
164,1144923475,2026-04-12 12:17:55,46124.512442129635,1,0:00:25,0:00:25,RECORD(20),20,,,42.6,0:08:03,2.071,84
165,,,,,,,unknownx(233),233,,,,,,
166,,,,,,,GPS_METADATA(160),160,,,,,,
167,1144923476,2026-04-12 12:17:56,46124.512453703705,1,0:00:26,0:00:26,RECORD(20),20,,,43.6,0:08:09,2.043,84
168,,,,,,,unknownx(233),233,,,,,,
169,,,,,,,GPS_METADATA(160),160,,,,,,
170,1144923477,2026-04-12 12:17:57,46124.512465277774,1,0:00:27,0:00:27,RECORD(20),20,,,45.4,0:08:14,2.025,83
171,,,,,,,unknownx(233),233,,,,,,
172,,,,,,,GPS_METADATA(160),160,,,,,,
173,1144923477,2026-04-12 12:17:57,46124.512465277774,0,0:00:27,0:00:27,unknown(325),325,,,,,,
174,1144923478,2026-04-12 12:17:58,46124.512476851850,1,0:00:28,0:00:28,RECORD(20),20,,,47.2,0:08:33,1.950,83
175,,,,,,,unknownx(233),233,,,,,,
176,,,,,,,GPS_METADATA(160),160,,,,,,
177,1144923479,2026-04-12 12:17:59,46124.512488425930,1,0:00:29,0:00:29,RECORD(20),20,,,49.5,0:08:43,1.913,83
178,1144923479,2026-04-12 12:17:59,46124.512488425930,0,0:00:29,0:00:29,device_status(104),104,,,,,,
179,,,,,,,unknownx(233),233,,,,,,
180,,,,,,,GPS_METADATA(160),160,,,,,,
181,1144923480,2026-04-12 12:18:00,46124.512500000000,1,0:00:30,0:00:30,RECORD(20),20,,,50.9,0:08:43,1.913,83
182,,,,,,,unknownx(233),233,,,,,,
183,,,,,,,GPS_METADATA(160),160,,,,,,
184,1144923481,2026-04-12 12:18:01,46124.512511574074,1,0:00:31,0:00:31,RECORD(20),20,,,52.7,0:08:48,1.894,82
185,,,,,,,unknownx(233),233,,,,,,
186,,,,,,,GPS_METADATA(160),160,,,,,,
187,1144923482,2026-04-12 12:18:02,46124.512523148150,1,0:00:32,0:00:32,RECORD(20),20,,,54.3,0:09:15,1.801,83
188,,,,,,,unknownx(233),233,,,,,,
189,,,,,,,GPS_METADATA(160),160,,,,,,
190,1144923483,2026-04-12 12:18:03,46124.512534722220,1,0:00:33,0:00:33,RECORD(20),20,,,56.2,0:09:27,1.764,83
191,,,,,,,unknownx(233),233,,,,,,
192,,,,,,,GPS_METADATA(160),160,,,,,,
193,1144923484,2026-04-12 12:18:04,46124.512546296300,1,0:00:34,0:00:34,RECORD(20),20,,,57.9,0:09:27,1.764,83
194,,,,,,,unknownx(233),233,,,,,,
195,,,,,,,GPS_METADATA(160),160,,,,,,
196,1144923485,2026-04-12 12:18:05,46124.512557870374,1,0:00:35,0:00:35,RECORD(20),20,,,59.3,0:09:39,1.726,83
197,,,,,,,unknownx(233),233,,,,,,
198,,,,,,,GPS_METADATA(160),160,,,,,,
199,1144923486,2026-04-12 12:18:06,46124.512569444440,1,0:00:36,0:00:36,device_used(22),22,,,,,,
200,1144923486,2026-04-12 12:18:06,46124.512569444440,0,0:00:36,0:00:36,RECORD(20),20,,,61.3,0:09:39,1.726,83
201,,,,,,,unknownx(233),233,,,,,,
202,,,,,,,GPS_METADATA(160),160,,,,,,
203,1144923487,2026-04-12 12:18:07,46124.512581018520,1,0:00:37,0:00:37,RECORD(20),20,,,63.7,0:09:39,1.726,82
204,,,,,,,unknownx(233),233,,,,,,
