Overall mesg ix,Timestamp (field 253) raw value,Timestamp (field 253) localtime string,Timestamp value that is compatible with Libre,Seconds diff from last value,ElapsedTimer in h:mm:ss,TotalTimer in h:mm:ss (pause time excluded),Mesg name,Mesg no,Mesg ix (field 253) if applicable,Event type and data,Distance in m,Enh speed in min/sec hh:mm:ss string,Enh speed in m/s value,Cadence
0,,,,,,,FILE_ID(0),0,,,,,,
1,,,,,,,FILE_CREATOR(49),49,,,,,,
2,1127055981,2025-09-17 17:06:21,45917.712743055556,,0:00:00,0:00:01,ACTIVITY(34),34,,,,,,
3,1127058720,2025-09-17 17:52:00,45917.744444444440,2739,0:45:39,0:43:43,activity_metrics(140),140,,,,,,
4,1127055980,2025-09-17 17:06:20,45917.712731481486,-2740,,0:00:00,SESSION(18),18,0,,,,,
5,1127055981,2025-09-17 17:06:21,45917.712743055556,1,0:00:00,0:00:01,TIME_IN_ZONE(216),216,,,,,,
6,1127055980,2025-09-17 17:06:20,45917.712731481486,-1,,0:00:00,LAP(19),19,0,,,,,
7,1127055981,2025-09-17 17:06:21,45917.712743055556,1,0:00:00,0:00:01,TIME_IN_ZONE(216),216,,,,,,
8,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,LAP(19),19,1,,,,,
9,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,TIME_IN_ZONE(216),216,,,,,,
10,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,LAP(19),19,2,,,,,
11,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,TIME_IN_ZONE(216),216,,,,,,
12,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,LAP(19),19,3,,,,,
13,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,TIME_IN_ZONE(216),216,,,,,,
14,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,LAP(19),19,4,,,,,
15,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,TIME_IN_ZONE(216),216,,,,,,
16,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,LAP(19),19,5,,,,,
17,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,TIME_IN_ZONE(216),216,,,,,,
18,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,LAP(19),19,6,,,,,
19,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,TIME_IN_ZONE(216),216,,,,,,
20,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,LAP(19),19,7,,,,,
21,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,TIME_IN_ZONE(216),216,,,,,,
22,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,LAP(19),19,8,,,,,
23,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,TIME_IN_ZONE(216),216,,,,,,
24,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,LAP(19),19,9,,,,,
25,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,TIME_IN_ZONE(216),216,,,,,,
26,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,LAP(19),19,10,,,,,
27,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,TIME_IN_ZONE(216),216,,,,,,
28,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,LAP(19),19,11,,,,,
29,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,TIME_IN_ZONE(216),216,,,,,,
30,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,LAP(19),19,12,,,,,
31,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,TIME_IN_ZONE(216),216,,,,,,
32,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,LAP(19),19,13,,,,,
33,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,TIME_IN_ZONE(216),216,,,,,,
34,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,LAP(19),19,14,,,,,
35,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,TIME_IN_ZONE(216),216,,,,,,
36,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,LAP(19),19,15,,,,,
37,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,TIME_IN_ZONE(216),216,,,,,,
38,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,LAP(19),19,16,,,,,
39,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,TIME_IN_ZONE(216),216,,,,,,
40,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,LAP(19),19,17,,,,,
41,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,TIME_IN_ZONE(216),216,,,,,,
42,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,LAP(19),19,18,,,,,
43,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,TIME_IN_ZONE(216),216,,,,,,
44,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT(312),312,0,,,,,
45,,,,,,,TIME_IN_ZONE(216),216,,,,,,
46,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT(312),312,1,,,,,
47,,,,,,,TIME_IN_ZONE(216),216,,,,,,
48,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT(312),312,2,,,,,
49,,,,,,,TIME_IN_ZONE(216),216,,,,,,
50,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT(312),312,3,,,,,
51,,,,,,,TIME_IN_ZONE(216),216,,,,,,
52,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT(312),312,4,,,,,
53,,,,,,,TIME_IN_ZONE(216),216,,,,,,
54,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT(312),312,5,,,,,
55,,,,,,,TIME_IN_ZONE(216),216,,,,,,
56,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT(312),312,6,,,,,
57,,,,,,,TIME_IN_ZONE(216),216,,,,,,
58,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT(312),312,7,,,,,
59,,,,,,,TIME_IN_ZONE(216),216,,,,,,
60,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT(312),312,8,,,,,
61,,,,,,,TIME_IN_ZONE(216),216,,,,,,
62,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT(312),312,9,,,,,
63,,,,,,,TIME_IN_ZONE(216),216,,,,,,
64,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT(312),312,10,,,,,
65,,,,,,,TIME_IN_ZONE(216),216,,,,,,
66,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT(312),312,11,,,,,
67,,,,,,,TIME_IN_ZONE(216),216,,,,,,
68,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT(312),312,12,,,,,
69,,,,,,,TIME_IN_ZONE(216),216,,,,,,
70,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT(312),312,13,,,,,
71,,,,,,,TIME_IN_ZONE(216),216,,,,,,
72,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT(312),312,14,,,,,
73,,,,,,,TIME_IN_ZONE(216),216,,,,,,
74,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT(312),312,15,,,,,
75,,,,,,,TIME_IN_ZONE(216),216,,,,,,
76,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT(312),312,16,,,,,
77,,,,,,,TIME_IN_ZONE(216),216,,,,,,
78,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT(312),312,17,,,,,
79,,,,,,,TIME_IN_ZONE(216),216,,,,,,
80,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT(312),312,18,,,,,
81,,,,,,,TIME_IN_ZONE(216),216,,,,,,
82,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT(312),312,19,,,,,
83,,,,,,,TIME_IN_ZONE(216),216,,,,,,
84,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT(312),312,20,,,,,
85,,,,,,,TIME_IN_ZONE(216),216,,,,,,
86,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT(312),312,21,,,,,
87,,,,,,,TIME_IN_ZONE(216),216,,,,,,
88,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT_SUMMARY(313),313,0,,,,,
89,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT_SUMMARY(313),313,1,,,,,
90,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT_SUMMARY(313),313,2,,,,,
91,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT_SUMMARY(313),313,3,,,,,
92,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT_SUMMARY(313),313,4,,,,,
93,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,SPLIT_SUMMARY(313),313,5,,,,,
94,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,unknown(288),288,,,,,,
95,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,unknown(327),327,,,,,,
96,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,unknown(327),327,,,,,,
97,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,gps_event(326),326,,,,,,
98,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,TIMESTAMP_CORRELATION(162),162,,,,,,
99,1127055980,2025-09-17 17:06:20,45917.712731481486,-1,,0:00:00,EVENT(21),21,,TIMER/START data=0,,,,
100,1127055981,2025-09-17 17:06:21,45917.712743055556,1,0:00:00,0:00:01,DEVICE_INFO(23),23,,,,,,
101,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,DEVICE_INFO(23),23,,,,,,
102,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,DEVICE_INFO(23),23,,,,,,
103,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,DEVICE_INFO(23),23,,,,,,
104,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,DEVICE_INFO(23),23,,,,,,
105,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,DEVICE_INFO(23),23,,,,,,
106,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,DEVICE_INFO(23),23,,,,,,
107,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,DEVICE_INFO(23),23,,,,,,
108,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,DEVICE_INFO(23),23,,,,,,
109,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,DEVICE_INFO(23),23,,,,,,
110,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,DEVICE_INFO(23),23,,,,,,
111,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,device_used(22),22,,,,,,
112,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,epo_status(141),141,,,,,,
113,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,cpe_status(394),394,,,,,,
114,,,,,,,DEVICE_SETTINGS(2),2,,,,,,
115,,,,,,,USER_PROFILE(3),3,,,,,,
116,,,,,,,sensor_settings(147),147,0,,,,,
117,,,,,,,sensor_settings(147),147,1,,,,,
118,,,,,,,sensor_settings(147),147,2,,,,,
119,,,,,,,sensor_settings(147),147,3,,,,,
120,,,,,,,sensor_settings(147),147,4,,,,,
121,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,user_metrics(79),79,,,,,,
122,,,,,,,SPORT(12),12,,,,,,
123,,,,,,,TRAINING_SETTINGS(13),13,0,,,,,
124,,,,,,,ZONES_TARGET(7),7,1,,,,,
125,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,TRAINING_FILE(72),72,,,,,,
126,1127055980,2025-09-17 17:06:20,45917.712731481486,-1,,0:00:00,RECORD(20),20,,,0.0,0:00:17,60.415,66
127,1127055981,2025-09-17 17:06:21,45917.712743055556,1,0:00:00,0:00:01,unknown(288),288,,,,,,
128,,,,,,,unknownx(233),233,,,,,,
129,,,,,,,GPS_METADATA(160),160,,,,,,
130,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,unknown(325),325,,,,,,
131,1127055981,2025-09-17 17:06:21,45917.712743055556,0,0:00:00,0:00:01,UNKNOWN(499),499,,,,,,
132,1127055982,2025-09-17 17:06:22,45917.712754629625,1,0:00:01,0:00:02,device_used(22),22,,,,,,
133,,,,,,,unknownx(233),233,,,,,,
134,,,,,,,GPS_METADATA(160),160,,,,,,
135,,,,,,,unknownx(233),233,,,,,,
136,,,,,,,GPS_METADATA(160),160,,,,,,
137,,,,,,,unknownx(233),233,,,,,,
138,,,,,,,GPS_METADATA(160),160,,,,,,
139,,,,,,,unknownx(233),233,,,,,,
140,,,,,,,GPS_METADATA(160),160,,,,,,
141,1127055986,2025-09-17 17:06:26,45917.712800925925,4,0:00:05,0:00:06,device_used(22),22,,,,,,
142,,,,,,,unknownx(233),233,,,,,,
143,,,,,,,GPS_METADATA(160),160,,,,,,
144,1127055986,2025-09-17 17:06:26,45917.712800925925,0,0:00:05,0:00:06,unknown(325),325,,,,,,
145,,,,,,,unknownx(233),233,,,,,,
146,,,,,,,GPS_METADATA(160),160,,,,,,
147,,,,,,,unknownx(233),233,,,,,,
148,,,,,,,GPS_METADATA(160),160,,,,,,
149,,,,,,,unknownx(233),233,,,,,,
150,,,,,,,GPS_METADATA(160),160,,,,,,
151,1127055990,2025-09-17 17:06:30,45917.712847222225,4,0:00:09,0:00:10,device_used(22),22,,,,,,
152,,,,,,,unknownx(233),233,,,,,,
153,,,,,,,GPS_METADATA(160),160,,,,,,
154,,,,,,,unknownx(233),233,,,,,,
155,,,,,,,GPS_METADATA(160),160,,,,,,
156,1127055991,2025-09-17 17:06:31,45917.712858796294,1,0:00:10,0:00:11,unknown(325),325,,,,,,
157,,,,,,,unknownx(233),233,,,,,,
158,,,,,,,GPS_METADATA(160),160,,,,,,
159,,,,,,,unknownx(233),233,,,,,,
160,,,,,,,GPS_METADATA(160),160,,,,,,
161,,,,,,,unknownx(233),233,,,,,,
162,,,,,,,GPS_METADATA(160),160,,,,,,
163,,,,,,,unknownx(233),233,,,,,,
164,,,,,,,GPS_METADATA(160),160,,,,,,
165,1127055996,2025-09-17 17:06:36,45917.712916666670,5,0:00:15,0:00:16,EVENT(21),21,,OFF_COURSE/STOP data=0,,,,
166,,,,,,,unknownx(233),233,,,,,,
167,,,,,,,GPS_METADATA(160),160,,,,,,
168,,,,,,,unknownx(233),233,,,,,,
169,,,,,,,GPS_METADATA(160),160,,,,,,
170,,,,,,,unknownx(233),233,,,,,,
171,,,,,,,GPS_METADATA(160),160,,,,,,
172,,,,,,,unknownx(233),233,,,,,,
173,,,,,,,GPS_METADATA(160),160,,,,,,
174,,,,,,,unknownx(233),233,,,,,,
175,,,,,,,GPS_METADATA(160),160,,,,,,
176,,,,,,,unknownx(233),233,,,,,,
177,,,,,,,GPS_METADATA(160),160,,,,,,
178,1127056002,2025-09-17 17:06:42,45917.712986111110,6,0:00:21,0:00:22,device_used(22),22,,,,,,
179,,,,,,,unknownx(233),233,,,,,,
180,,,,,,,GPS_METADATA(160),160,,,,,,
181,,,,,,,unknownx(233),233,,,,,,
182,,,,,,,GPS_METADATA(160),160,,,,,,
183,,,,,,,unknownx(233),233,,,,,,
184,,,,,,,GPS_METADATA(160),160,,,,,,
185,1127055981,2025-09-17 17:06:21,45917.712743055556,-21,0:00:00,0:00:01,RECORD(20),20,,,4.1,0:00:17,58.201,66
186,1127055982,2025-09-17 17:06:22,45917.712754629625,1,0:00:01,0:00:02,RECORD(20),20,,,8.2,0:00:18,55.988,66
187,1127055983,2025-09-17 17:06:23,45917.712766203700,1,0:00:02,0:00:03,RECORD(20),20,,,12.3,0:00:19,53.774,66
188,1127055984,2025-09-17 17:06:24,45917.712777777780,1,0:00:03,0:00:04,RECORD(20),20,,,16.3,0:00:19,51.561,66
189,1127055985,2025-09-17 17:06:25,45917.712789351850,1,0:00:04,0:00:05,RECORD(20),20,,,20.4,0:00:20,49.347,66
190,1127055986,2025-09-17 17:06:26,45917.712800925925,1,0:00:05,0:00:06,RECORD(20),20,,,24.5,0:00:21,47.134,66
191,1127055987,2025-09-17 17:06:27,45917.712812500000,1,0:00:06,0:00:07,RECORD(20),20,,,28.6,0:00:22,44.920,66
192,1127055988,2025-09-17 17:06:28,45917.712824074070,1,0:00:07,0:00:08,RECORD(20),20,,,32.7,0:00:23,42.707,66
193,1127055989,2025-09-17 17:06:29,45917.712835648150,1,0:00:08,0:00:09,RECORD(20),20,,,36.8,0:00:25,40.493,66
194,1127055990,2025-09-17 17:06:30,45917.712847222225,1,0:00:09,0:00:10,RECORD(20),20,,,40.8,0:00:26,38.279,66
195,1127055991,2025-09-17 17:06:31,45917.712858796294,1,0:00:10,0:00:11,RECORD(20),20,,,44.9,0:00:28,36.066,66
196,1127055992,2025-09-17 17:06:32,45917.712870370370,1,0:00:11,0:00:12,RECORD(20),20,,,49.0,0:00:30,33.852,66
