Overall mesg ix,Timestamp (field 253) raw value,Timestamp (field 253) localtime string,Timestamp value that is compatible with Libre,Seconds diff from last value,ElapsedTimer in h:mm:ss,TotalTimer in h:mm:ss (pause time excluded),Mesg name,Mesg no,Mesg ix (field 253) if applicable,Event type and data,Distance in m,Enh speed in min/sec hh:mm:ss string,Enh speed in m/s value,Cadence
0,,,,,,,FILE_ID(0),0,,,,,,
1,,,,,,,FILE_CREATOR(49),49,,,,,,
2,1128332015,2025-10-02 11:33:35,45932.481655092590,,0:00:00,0:00:00,ACTIVITY(34),34,,,,,,
3,1128348890,2025-10-02 16:14:50,45932.676967592590,16875,4:41:15,2:39:22,activity_metrics(140),140,,,,,,
4,1128332015,2025-10-02 11:33:35,45932.481655092590,-16875,0:00:00,0:00:00,SESSION(18),18,0,,,,,
5,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
6,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,LAP(19),19,0,,,,,
7,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
8,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,LAP(19),19,1,,,,,
9,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
10,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,LAP(19),19,2,,,,,
11,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
12,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,LAP(19),19,3,,,,,
13,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
14,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,LAP(19),19,4,,,,,
15,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
16,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,LAP(19),19,5,,,,,
17,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
18,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,LAP(19),19,6,,,,,
19,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
20,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,LAP(19),19,7,,,,,
21,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
22,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,LAP(19),19,8,,,,,
23,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
24,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,LAP(19),19,9,,,,,
25,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
26,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,LAP(19),19,10,,,,,
27,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
28,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,LAP(19),19,11,,,,,
29,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
30,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,LAP(19),19,12,,,,,
31,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
32,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,LAP(19),19,13,,,,,
33,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
34,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,LAP(19),19,14,,,,,
35,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
36,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,LAP(19),19,15,,,,,
37,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
38,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,unknown(288),288,,,,,,
39,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,unknown(327),327,,,,,,
40,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,unknown(327),327,,,,,,
41,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,gps_event(326),326,,,,,,
42,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,TIMESTAMP_CORRELATION(162),162,,,,,,
43,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,EVENT(21),21,,TIMER/START data=0,,,,
44,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
45,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
46,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
47,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
48,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
49,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
50,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
51,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
52,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
53,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
54,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
55,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,device_used(22),22,,,,,,
56,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,epo_status(141),141,,,,,,
57,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,cpe_status(394),394,,,,,,
58,,,,,,,DEVICE_SETTINGS(2),2,,,,,,
59,,,,,,,USER_PROFILE(3),3,,,,,,
60,,,,,,,sensor_settings(147),147,0,,,,,
61,,,,,,,sensor_settings(147),147,1,,,,,
62,,,,,,,sensor_settings(147),147,2,,,,,
63,,,,,,,sensor_settings(147),147,3,,,,,
64,,,,,,,sensor_settings(147),147,4,,,,,
65,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,user_metrics(79),79,,,,,,
66,,,,,,,SPORT(12),12,,,,,,
67,,,,,,,TRAINING_SETTINGS(13),13,0,,,,,
68,,,,,,,ZONES_TARGET(7),7,1,,,,,
69,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,RECORD(20),20,,,0.4,0:17:42,0.942,74
70,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,unknown(288),288,,,,,,
71,,,,,,,GPS_METADATA(160),160,,,,,,
72,,,,,,,unknownx(233),233,,,,,,
73,1128332015,2025-10-02 11:33:35,45932.481655092590,0,0:00:00,0:00:00,UNKNOWN(499),499,,,,,,
74,1128332016,2025-10-02 11:33:36,45932.481666666670,1,0:00:01,0:00:01,RECORD(20),20,,,1.6,0:13:44,1.213,72
75,,,,,,,GPS_METADATA(160),160,,,,,,
76,,,,,,,unknownx(233),233,,,,,,
77,1128332017,2025-10-02 11:33:37,45932.481678240740,1,0:00:02,0:00:02,RECORD(20),20,,,3.1,0:14:46,1.129,69
78,,,,,,,GPS_METADATA(160),160,,,,,,
79,,,,,,,unknownx(233),233,,,,,,
80,1128332018,2025-10-02 11:33:38,45932.481689814810,1,0:00:03,0:00:03,RECORD(20),20,,,5.0,0:14:46,1.129,66
81,,,,,,,GPS_METADATA(160),160,,,,,,
82,,,,,,,unknownx(233),233,,,,,,
83,1128332019,2025-10-02 11:33:39,45932.481701388890,1,0:00:04,0:00:04,device_used(22),22,,,,,,
84,1128332019,2025-10-02 11:33:39,45932.481701388890,0,0:00:04,0:00:04,RECORD(20),20,,,6.7,0:11:54,1.400,65
85,,,,,,,GPS_METADATA(160),160,,,,,,
86,,,,,,,unknownx(233),233,,,,,,
87,1128332020,2025-10-02 11:33:40,45932.481712962970,1,0:00:05,0:00:05,device_used(22),22,,,,,,
88,1128332020,2025-10-02 11:33:40,45932.481712962970,0,0:00:05,0:00:05,RECORD(20),20,,,8.2,0:10:09,1.642,67
89,,,,,,,GPS_METADATA(160),160,,,,,,
90,,,,,,,unknownx(233),233,,,,,,
91,1128332021,2025-10-02 11:33:41,45932.481724537036,1,0:00:06,0:00:06,RECORD(20),20,,,9.8,0:10:09,1.642,69
92,,,,,,,GPS_METADATA(160),160,,,,,,
93,,,,,,,unknownx(233),233,,,,,,
94,1128332022,2025-10-02 11:33:42,45932.481736111110,1,0:00:07,0:00:07,RECORD(20),20,,,11.2,0:10:09,1.642,69
95,,,,,,,GPS_METADATA(160),160,,,,,,
96,1128332022,2025-10-02 11:33:42,45932.481736111110,0,0:00:07,0:00:07,unknown(325),325,,,,,,
97,,,,,,,unknownx(233),233,,,,,,
98,1128332023,2025-10-02 11:33:43,45932.481747685190,1,0:00:08,0:00:08,RECORD(20),20,,,13.2,0:10:20,1.614,69
99,,,,,,,GPS_METADATA(160),160,,,,,,
100,,,,,,,unknownx(233),233,,,,,,
101,1128332024,2025-10-02 11:33:44,45932.481759259260,1,0:00:09,0:00:09,RECORD(20),20,,,14.3,0:09:59,1.670,69
102,,,,,,,GPS_METADATA(160),160,,,,,,
103,,,,,,,unknownx(233),233,,,,,,
104,1128332025,2025-10-02 11:33:45,45932.481770833330,1,0:00:10,0:00:10,RECORD(20),20,,,16.5,0:10:38,1.568,69
105,,,,,,,GPS_METADATA(160),160,,,,,,
106,,,,,,,unknownx(233),233,,,,,,
107,1128332026,2025-10-02 11:33:46,45932.481782407410,1,0:00:11,0:00:11,RECORD(20),20,,,18.1,0:09:27,1.764,71
108,,,,,,,GPS_METADATA(160),160,,,,,,
109,,,,,,,unknownx(233),233,,,,,,
110,1128332027,2025-10-02 11:33:47,45932.481793981480,1,0:00:12,0:00:12,RECORD(20),20,,,20.2,0:09:45,1.708,74
111,,,,,,,GPS_METADATA(160),160,,,,,,
112,,,,,,,unknownx(233),233,,,,,,
113,1128332028,2025-10-02 11:33:48,45932.481805555550,1,0:00:13,0:00:13,RECORD(20),20,,,21.7,0:09:24,1.773,75
114,,,,,,,GPS_METADATA(160),160,,,,,,
115,,,,,,,unknownx(233),233,,,,,,
116,1128332029,2025-10-02 11:33:49,45932.481817129630,1,0:00:14,0:00:14,RECORD(20),20,,,23.3,0:09:24,1.773,75
117,,,,,,,GPS_METADATA(160),160,,,,,,
118,,,,,,,unknownx(233),233,,,,,,
119,1128332030,2025-10-02 11:33:50,45932.481828703705,1,0:00:15,0:00:15,RECORD(20),20,,,25.5,0:09:24,1.773,76
120,,,,,,,GPS_METADATA(160),160,,,,,,
121,,,,,,,unknownx(233),233,,,,,,
122,1128332031,2025-10-02 11:33:51,45932.481840277775,1,0:00:16,0:00:16,RECORD(20),20,,,27.4,0:09:24,1.773,77
123,,,,,,,GPS_METADATA(160),160,,,,,,
124,,,,,,,unknownx(233),233,,,,,,
125,1128332032,2025-10-02 11:33:52,45932.481851851850,1,0:00:17,0:00:17,RECORD(20),20,,,28.9,0:09:04,1.838,78
126,,,,,,,GPS_METADATA(160),160,,,,,,
127,,,,,,,unknownx(233),233,,,,,,
128,1128332033,2025-10-02 11:33:53,45932.481863425930,1,0:00:18,0:00:18,RECORD(20),20,,,31.6,0:09:04,1.838,78
129,,,,,,,GPS_METADATA(160),160,,,,,,
130,,,,,,,unknownx(233),233,,,,,,
131,1128332034,2025-10-02 11:33:54,45932.481875000000,1,0:00:19,0:00:19,RECORD(20),20,,,33.9,0:09:01,1.847,78
132,,,,,,,GPS_METADATA(160),160,,,,,,
133,,,,,,,unknownx(233),233,,,,,,
134,1128332035,2025-10-02 11:33:55,45932.481886574074,1,0:00:20,0:00:20,RECORD(20),20,,,35.6,0:08:59,1.857,78
135,,,,,,,GPS_METADATA(160),160,,,,,,
136,,,,,,,unknownx(233),233,,,,,,
137,1128332036,2025-10-02 11:33:56,45932.481898148150,1,0:00:21,0:00:21,RECORD(20),20,,,37.6,0:08:40,1.922,78
138,,,,,,,GPS_METADATA(160),160,,,,,,
139,,,,,,,unknownx(233),233,,,,,,
140,1128332037,2025-10-02 11:33:57,45932.481909722220,1,0:00:22,0:00:22,RECORD(20),20,,,39.7,0:08:38,1.931,78
141,,,,,,,GPS_METADATA(160),160,,,,,,
142,,,,,,,unknownx(233),233,,,,,,
143,1128332038,2025-10-02 11:33:58,45932.481921296300,1,0:00:23,0:00:23,RECORD(20),20,,,41.3,0:08:38,1.931,79
144,,,,,,,GPS_METADATA(160),160,,,,,,
145,,,,,,,unknownx(233),233,,,,,,
146,1128332039,2025-10-02 11:33:59,45932.481932870374,1,0:00:24,0:00:24,RECORD(20),20,,,43.5,0:08:35,1.941,79
147,,,,,,,GPS_METADATA(160),160,,,,,,
148,,,,,,,unknownx(233),233,,,,,,
149,1128332040,2025-10-02 11:34:00,45932.481944444444,1,0:00:25,0:00:25,RECORD(20),20,,,45.0,0:08:33,1.950,79
150,,,,,,,GPS_METADATA(160),160,,,,,,
151,,,,,,,unknownx(233),233,,,,,,
152,1128332041,2025-10-02 11:34:01,45932.481956018510,1,0:00:26,0:00:26,RECORD(20),20,,,46.3,0:08:38,1.931,74
153,,,,,,,GPS_METADATA(160),160,,,,,,
154,,,,,,,unknownx(233),233,,,,,,
155,1128332042,2025-10-02 11:34:02,45932.481967592600,1,0:00:27,0:00:27,RECORD(20),20,,,48.1,0:08:56,1.866,62
156,,,,,,,GPS_METADATA(160),160,,,,,,
157,,,,,,,unknownx(233),233,,,,,,
158,1128332043,2025-10-02 11:34:03,45932.481979166670,1,0:00:28,0:00:28,RECORD(20),20,,,49.1,0:09:39,1.726,67
159,,,,,,,GPS_METADATA(160),160,,,,,,
160,,,,,,,unknownx(233),233,,,,,,
161,1128332044,2025-10-02 11:34:04,45932.481990740740,1,0:00:29,0:00:29,RECORD(20),20,,,50.6,0:10:34,1.577,70
162,,,,,,,GPS_METADATA(160),160,,,,,,
163,1128332044,2025-10-02 11:34:04,45932.481990740740,0,0:00:29,0:00:29,unknown(325),325,,,,,,
164,,,,,,,unknownx(233),233,,,,,,
165,1128332045,2025-10-02 11:34:05,45932.482002314810,1,0:00:30,0:00:30,RECORD(20),20,,,52.1,0:11:10,1.493,71
166,1128332045,2025-10-02 11:34:05,45932.482002314810,0,0:00:30,0:00:30,gps_event(326),326,,,,,,
167,,,,,,,GPS_METADATA(160),160,,,,,,
168,,,,,,,unknownx(233),233,,,,,,
169,1128332046,2025-10-02 11:34:06,45932.482013888890,1,0:00:31,0:00:31,RECORD(20),20,,,54.3,0:11:14,1.484,73
170,,,,,,,GPS_METADATA(160),160,,,,,,
171,,,,,,,unknownx(233),233,,,,,,
172,1128332047,2025-10-02 11:34:07,45932.482025462960,1,0:00:32,0:00:32,RECORD(20),20,,,56.4,0:11:10,1.493,74
173,,,,,,,GPS_METADATA(160),160,,,,,,
174,,,,,,,unknownx(233),233,,,,,,
175,1128332048,2025-10-02 11:34:08,45932.482037037036,1,0:00:33,0:00:33,RECORD(20),20,,,57.8,0:09:55,1.680,74
176,,,,,,,GPS_METADATA(160),160,,,,,,
177,,,,,,,unknownx(233),233,,,,,,
178,1128332049,2025-10-02 11:34:09,45932.482048611110,1,0:00:34,0:00:34,RECORD(20),20,,,59.9,0:09:36,1.736,74
179,,,,,,,GPS_METADATA(160),160,,,,,,
180,1128332049,2025-10-02 11:34:09,45932.482048611110,0,0:00:34,0:00:34,unknown(325),325,,,,,,
181,,,,,,,unknownx(233),233,,,,,,
182,1128332050,2025-10-02 11:34:10,45932.482060185180,1,0:00:35,0:00:35,RECORD(20),20,,,62.0,0:09:18,1.791,74
183,,,,,,,GPS_METADATA(160),160,,,,,,
184,,,,,,,unknownx(233),233,,,,,,
185,1128332051,2025-10-02 11:34:11,45932.482071759260,1,0:00:36,0:00:36,RECORD(20),20,,,63.5,0:09:18,1.791,74
186,,,,,,,GPS_METADATA(160),160,,,,,,
187,,,,,,,unknownx(233),233,,,,,,
188,1128332052,2025-10-02 11:34:12,45932.482083333336,1,0:00:37,0:00:37,RECORD(20),20,,,65.1,0:09:18,1.791,75
189,,,,,,,GPS_METADATA(160),160,,,,,,
190,,,,,,,unknownx(233),233,,,,,,
191,1128332053,2025-10-02 11:34:13,45932.482094907406,1,0:00:38,0:00:38,RECORD(20),20,,,67.4,0:09:42,1.717,76
192,,,,,,,GPS_METADATA(160),160,,,,,,
193,,,,,,,unknownx(233),233,,,,,,
194,1128332054,2025-10-02 11:34:14,45932.482106481480,1,0:00:39,0:00:39,RECORD(20),20,,,69.6,0:09:42,1.717,76
195,,,,,,,GPS_METADATA(160),160,,,,,,
196,,,,,,,unknownx(233),233,,,,,,
197,1128332055,2025-10-02 11:34:15,45932.482118055560,1,0:00:40,0:00:40,RECORD(20),20,,,71.0,0:08:12,2.034,77
198,,,,,,,GPS_METADATA(160),160,,,,,,
199,,,,,,,unknownx(233),233,,,,,,
200,1128332056,2025-10-02 11:34:16,45932.482129629630,1,0:00:41,0:00:41,RECORD(20),20,,,73.8,0:08:12,2.034,77
201,,,,,,,GPS_METADATA(160),160,,,,,,
202,,,,,,,unknownx(233),233,,,,,,
