Overall mesg ix,Timestamp (field 253) raw value,Timestamp (field 253) localtime string,Timestamp value that is compatible with Libre,Seconds diff from last value,ElapsedTimer in h:mm:ss,TotalTimer in h:mm:ss (pause time excluded),Mesg name,Mesg no,Mesg ix (field 253) if applicable,Event type and data,Distance in m,Enh speed in min/sec hh:mm:ss string,Enh speed in m/s value,Cadence
0,,,,,,,FILE_ID(0),0,,,,,,
1,,,,,,,FILE_CREATOR(49),49,,,,,,
2,1144843954,2026-04-11 14:12:34,46123.592060185180,,0:00:00,0:00:00,ACTIVITY(34),34,,,,,,
3,1144846697,2026-04-11 14:58:17,46123.623807870375,2743,0:45:43,0:39:22,activity_metrics(140),140,,,,,,
4,1144843954,2026-04-11 14:12:34,46123.592060185180,-2743,0:00:00,0:00:00,SESSION(18),18,0,,,,,
5,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
6,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,LAP(19),19,0,,,,,
7,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
8,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,LAP(19),19,1,,,,,
9,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,TIME_IN_ZONE(216),216,,,,,,
10,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,0,,,,,
11,,,,,,,TIME_IN_ZONE(216),216,,,,,,
12,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,1,,,,,
13,,,,,,,TIME_IN_ZONE(216),216,,,,,,
14,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,2,,,,,
15,,,,,,,TIME_IN_ZONE(216),216,,,,,,
16,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,3,,,,,
17,,,,,,,TIME_IN_ZONE(216),216,,,,,,
18,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,4,,,,,
19,,,,,,,TIME_IN_ZONE(216),216,,,,,,
20,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,5,,,,,
21,,,,,,,TIME_IN_ZONE(216),216,,,,,,
22,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,6,,,,,
23,,,,,,,TIME_IN_ZONE(216),216,,,,,,
24,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,7,,,,,
25,,,,,,,TIME_IN_ZONE(216),216,,,,,,
26,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,8,,,,,
27,,,,,,,TIME_IN_ZONE(216),216,,,,,,
28,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,9,,,,,
29,,,,,,,TIME_IN_ZONE(216),216,,,,,,
30,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,10,,,,,
31,,,,,,,TIME_IN_ZONE(216),216,,,,,,
32,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,11,,,,,
33,,,,,,,TIME_IN_ZONE(216),216,,,,,,
34,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,12,,,,,
35,,,,,,,TIME_IN_ZONE(216),216,,,,,,
36,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,13,,,,,
37,,,,,,,TIME_IN_ZONE(216),216,,,,,,
38,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,14,,,,,
39,,,,,,,TIME_IN_ZONE(216),216,,,,,,
40,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,15,,,,,
41,,,,,,,TIME_IN_ZONE(216),216,,,,,,
42,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,16,,,,,
43,,,,,,,TIME_IN_ZONE(216),216,,,,,,
44,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,17,,,,,
45,,,,,,,TIME_IN_ZONE(216),216,,,,,,
46,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,18,,,,,
47,,,,,,,TIME_IN_ZONE(216),216,,,,,,
48,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,19,,,,,
49,,,,,,,TIME_IN_ZONE(216),216,,,,,,
50,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,20,,,,,
51,,,,,,,TIME_IN_ZONE(216),216,,,,,,
52,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,21,,,,,
53,,,,,,,TIME_IN_ZONE(216),216,,,,,,
54,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,22,,,,,
55,,,,,,,TIME_IN_ZONE(216),216,,,,,,
56,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,23,,,,,
57,,,,,,,TIME_IN_ZONE(216),216,,,,,,
58,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,24,,,,,
59,,,,,,,TIME_IN_ZONE(216),216,,,,,,
60,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,25,,,,,
61,,,,,,,TIME_IN_ZONE(216),216,,,,,,
62,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,26,,,,,
63,,,,,,,TIME_IN_ZONE(216),216,,,,,,
64,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,27,,,,,
65,,,,,,,TIME_IN_ZONE(216),216,,,,,,
66,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,28,,,,,
67,,,,,,,TIME_IN_ZONE(216),216,,,,,,
68,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,29,,,,,
69,,,,,,,TIME_IN_ZONE(216),216,,,,,,
70,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,30,,,,,
71,,,,,,,TIME_IN_ZONE(216),216,,,,,,
72,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,31,,,,,
73,,,,,,,TIME_IN_ZONE(216),216,,,,,,
74,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,32,,,,,
75,,,,,,,TIME_IN_ZONE(216),216,,,,,,
76,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,33,,,,,
77,,,,,,,TIME_IN_ZONE(216),216,,,,,,
78,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,34,,,,,
79,,,,,,,TIME_IN_ZONE(216),216,,,,,,
80,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,35,,,,,
81,,,,,,,TIME_IN_ZONE(216),216,,,,,,
82,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,36,,,,,
83,,,,,,,TIME_IN_ZONE(216),216,,,,,,
84,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,37,,,,,
85,,,,,,,TIME_IN_ZONE(216),216,,,,,,
86,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,38,,,,,
87,,,,,,,TIME_IN_ZONE(216),216,,,,,,
88,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,39,,,,,
89,,,,,,,TIME_IN_ZONE(216),216,,,,,,
90,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,40,,,,,
91,,,,,,,TIME_IN_ZONE(216),216,,,,,,
92,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT(312),312,41,,,,,
93,,,,,,,TIME_IN_ZONE(216),216,,,,,,
94,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT_SUMMARY(313),313,0,,,,,
95,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT_SUMMARY(313),313,1,,,,,
96,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT_SUMMARY(313),313,2,,,,,
97,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,SPLIT_SUMMARY(313),313,3,,,,,
98,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,unknown(288),288,,,,,,
99,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,unknown(327),327,,,,,,
100,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,unknown(327),327,,,,,,
101,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,gps_event(326),326,,,,,,
102,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,TIMESTAMP_CORRELATION(162),162,,,,,,
103,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,EVENT(21),21,,TIMER/START data=0,,,,
104,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
105,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
106,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
107,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
108,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
109,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
110,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
111,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
112,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
113,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
114,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,device_used(22),22,,,,,,
115,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,epo_status(141),141,,,,,,
116,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,cpe_status(394),394,,,,,,
117,,,,,,,DEVICE_SETTINGS(2),2,,,,,,
118,,,,,,,USER_PROFILE(3),3,,,,,,
119,,,,,,,sensor_settings(147),147,0,,,,,
120,,,,,,,sensor_settings(147),147,1,,,,,
121,,,,,,,sensor_settings(147),147,2,,,,,
122,,,,,,,sensor_settings(147),147,3,,,,,
123,,,,,,,sensor_settings(147),147,4,,,,,
124,,,,,,,sensor_settings(147),147,5,,,,,
125,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,user_metrics(79),79,,,,,,
126,,,,,,,SPORT(12),12,,,,,,
127,,,,,,,TRAINING_SETTINGS(13),13,0,,,,,
128,,,,,,,ZONES_TARGET(7),7,1,,,,,
129,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,RECORD(20),20,,,0.0,0:14:10,1.176,57
130,,,,,,,GPS_METADATA(160),160,,,,,,
131,,,,,,,unknownx(233),233,,,,,,
132,1144843954,2026-04-11 14:12:34,46123.592060185180,0,0:00:00,0:00:00,UNKNOWN(499),499,,,,,,
133,1144843955,2026-04-11 14:12:35,46123.592071759260,1,0:00:01,0:00:01,RECORD(20),20,,,1.2,,0.000,68
134,,,,,,,GPS_METADATA(160),160,,,,,,
135,1144843955,2026-04-11 14:12:35,46123.592071759260,0,0:00:01,0:00:01,unknown(325),325,,,,,,
136,,,,,,,unknownx(233),233,,,,,,
137,1144843956,2026-04-11 14:12:36,46123.592083333340,1,0:00:02,0:00:02,RECORD(20),20,,,3.2,0:13:20,1.250,74
138,,,,,,,GPS_METADATA(160),160,,,,,,
139,,,,,,,unknownx(233),233,,,,,,
140,1144843957,2026-04-11 14:12:37,46123.592094907406,1,0:00:03,0:00:03,RECORD(20),20,,,5.3,0:08:53,1.875,20
141,,,,,,,GPS_METADATA(160),160,,,,,,
142,,,,,,,unknownx(233),233,,,,,,
143,1144843958,2026-04-11 14:12:38,46123.592106481480,1,0:00:04,0:00:04,RECORD(20),20,,,7.8,0:08:19,2.006,21
144,,,,,,,GPS_METADATA(160),160,,,,,,
145,,,,,,,unknownx(233),233,,,,,,
146,1144843959,2026-04-11 14:12:39,46123.592118055560,1,0:00:05,0:00:05,RECORD(20),20,,,10.1,0:06:49,2.445,58
147,,,,,,,GPS_METADATA(160),160,,,,,,
148,,,,,,,unknownx(233),233,,,,,,
149,1144843960,2026-04-11 14:12:40,46123.592129629630,1,0:00:06,0:00:06,device_used(22),22,,,,,,
150,1144843960,2026-04-11 14:12:40,46123.592129629630,0,0:00:06,0:00:06,RECORD(20),20,,,12.8,0:06:23,2.613,74
151,,,,,,,GPS_METADATA(160),160,,,,,,
152,,,,,,,unknownx(233),233,,,,,,
153,1144843961,2026-04-11 14:12:41,46123.592141203700,1,0:00:07,0:00:07,RECORD(20),20,,,15.5,0:06:20,2.631,80
154,,,,,,,GPS_METADATA(160),160,,,,,,
155,1144843961,2026-04-11 14:12:41,46123.592141203700,0,0:00:07,0:00:07,unknown(325),325,,,,,,
156,,,,,,,unknownx(233),233,,,,,,
157,1144843962,2026-04-11 14:12:42,46123.592152777780,1,0:00:08,0:00:08,RECORD(20),20,,,17.7,0:06:20,2.631,82
158,,,,,,,GPS_METADATA(160),160,,,,,,
159,,,,,,,unknownx(233),233,,,,,,
160,1144843963,2026-04-11 14:12:43,46123.592164351850,1,0:00:09,0:00:09,RECORD(20),20,,,20.2,0:06:46,2.463,83
161,,,,,,,GPS_METADATA(160),160,,,,,,
162,,,,,,,unknownx(233),233,,,,,,
163,1144843964,2026-04-11 14:12:44,46123.592175925920,1,0:00:10,0:00:10,device_used(22),22,,,,,,
164,1144843964,2026-04-11 14:12:44,46123.592175925920,0,0:00:10,0:00:10,RECORD(20),20,,,22.0,0:07:17,2.286,84
165,,,,,,,GPS_METADATA(160),160,,,,,,
166,,,,,,,unknownx(233),233,,,,,,
167,1144843965,2026-04-11 14:12:45,46123.592187500000,1,0:00:11,0:00:11,device_used(22),22,,,,,,
168,1144843965,2026-04-11 14:12:45,46123.592187500000,0,0:00:11,0:00:11,RECORD(20),20,,,23.8,0:08:05,2.062,83
169,,,,,,,GPS_METADATA(160),160,,,,,,
170,,,,,,,unknownx(233),233,,,,,,
171,1144843966,2026-04-11 14:12:46,46123.592199074075,1,0:00:12,0:00:12,RECORD(20),20,,,26.4,0:08:05,2.062,83
172,,,,,,,GPS_METADATA(160),160,,,,,,
173,1144843966,2026-04-11 14:12:46,46123.592199074075,0,0:00:12,0:00:12,unknown(325),325,,,,,,
174,,,,,,,unknownx(233),233,,,,,,
175,1144843967,2026-04-11 14:12:47,46123.592210648145,1,0:00:13,0:00:13,RECORD(20),20,,,28.8,0:07:14,2.305,21
176,,,,,,,GPS_METADATA(160),160,,,,,,
177,,,,,,,unknownx(233),233,,,,,,
178,1144843968,2026-04-11 14:12:48,46123.592222222220,1,0:00:14,0:00:14,RECORD(20),20,,,31.1,0:07:14,2.305,21
179,,,,,,,GPS_METADATA(160),160,,,,,,
180,,,,,,,unknownx(233),233,,,,,,
181,1144843969,2026-04-11 14:12:49,46123.592233796300,1,0:00:15,0:00:15,RECORD(20),20,,,33.5,0:07:09,2.333,57
182,,,,,,,GPS_METADATA(160),160,,,,,,
183,,,,,,,unknownx(233),233,,,,,,
184,1144843970,2026-04-11 14:12:50,46123.592245370370,1,0:00:16,0:00:16,device_used(22),22,,,,,,
185,1144843970,2026-04-11 14:12:50,46123.592245370370,0,0:00:16,0:00:16,RECORD(20),20,,,35.6,0:07:14,2.305,57
186,,,,,,,GPS_METADATA(160),160,,,,,,
187,,,,,,,unknownx(233),233,,,,,,
188,1144843971,2026-04-11 14:12:51,46123.592256944445,1,0:00:17,0:00:17,RECORD(20),20,,,38.3,0:07:09,2.333,76
189,,,,,,,GPS_METADATA(160),160,,,,,,
190,1144843971,2026-04-11 14:12:51,46123.592256944445,0,0:00:17,0:00:17,unknown(325),325,,,,,,
191,,,,,,,unknownx(233),233,,,,,,
192,1144843972,2026-04-11 14:12:52,46123.592268518520,1,0:00:18,0:00:18,RECORD(20),20,,,40.7,0:07:00,2.379,80
193,,,,,,,GPS_METADATA(160),160,,,,,,
194,,,,,,,unknownx(233),233,,,,,,
195,1144843973,2026-04-11 14:12:53,46123.592280092590,1,0:00:19,0:00:19,RECORD(20),20,,,42.7,0:07:00,2.379,82
196,,,,,,,GPS_METADATA(160),160,,,,,,
197,,,,,,,unknownx(233),233,,,,,,
198,1144843974,2026-04-11 14:12:54,46123.592291666670,1,0:00:20,0:00:20,RECORD(20),20,,,45.2,0:07:05,2.351,83
199,,,,,,,GPS_METADATA(160),160,,,,,,
200,,,,,,,unknownx(233),233,,,,,,
201,1144843975,2026-04-11 14:12:55,46123.592303240745,1,0:00:21,0:00:21,RECORD(20),20,,,47.6,0:07:05,2.351,83
202,,,,,,,GPS_METADATA(160),160,,,,,,
203,,,,,,,unknownx(233),233,,,,,,
204,1144843976,2026-04-11 14:12:56,46123.592314814814,1,0:00:22,0:00:22,RECORD(20),20,,,50.1,0:07:04,2.361,83
