Overall mesg ix,Timestamp (field 253) raw value,Timestamp (field 253) localtime string,Timestamp value that is compatible with Libre,Seconds diff from last value,ElapsedTimer in h:mm:ss,TotalTimer in h:mm:ss (pause time excluded),Mesg name,Mesg no,Mesg ix (field 253) if applicable,Event type and data,Distance in m,Enh speed in min/sec hh:mm:ss string,Enh speed in m/s value,Cadence
0,,,,,,,FILE_ID(0),0,,,,,,
1,,,,,,,SPORT(12),12,,,,,,
2,,,,,,,FILE_CREATOR(49),49,,,,,,
3,1141983618,2026-03-09 10:40:18,46090.444652777776,,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
4,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
5,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
6,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
7,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
8,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
9,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,DEVICE_INFO(23),23,,,,,,
10,,,,,,,DEVICE_SETTINGS(2),2,,,,,,
11,,,,,,,USER_PROFILE(3),3,,,,,,
12,,,,,,,activity_metrics(140),140,,,,,,
13,,,,,,,SPORT(12),12,,,,,,
14,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,SESSION(18),18,0,,,,,
15,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,0,,,,,
16,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,1,,,,,
17,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,2,,,,,
18,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,3,,,,,
19,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,4,,,,,
20,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,5,,,,,
21,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,6,,,,,
22,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,7,,,,,
23,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,8,,,,,
24,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,9,,,,,
25,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,10,,,,,
26,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,11,,,,,
27,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,12,,,,,
28,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,13,,,,,
29,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,14,,,,,
30,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,15,,,,,
31,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,16,,,,,
32,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,17,,,,,
33,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,18,,,,,
34,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,19,,,,,
35,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,20,,,,,
36,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,21,,,,,
37,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,22,,,,,
38,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,23,,,,,
39,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,24,,,,,
40,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,25,,,,,
41,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,LAP(19),19,26,,,,,
42,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,EVENT(21),21,,TIMER/START data=0,,,,
43,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,device_used(22),22,,,,,,
44,1141983618,2026-03-09 10:40:18,46090.444652777776,0,0:00:00,0:00:00,RECORD(20),20,,,2.2,0:14:00,1.191,
45,1142200039,2026-03-11 22:47:19,46092.949525462960,216421,60:07:01,2:11:19,GPS_METADATA(160),160,,,,,,
46,1141983619,2026-03-09 10:40:19,46090.444664351850,-216420,0:00:01,0:00:01,RECORD(20),20,,,4.2,0:08:25,1.979,
47,1142200039,2026-03-11 22:47:19,46092.949525462960,216420,60:07:01,2:11:19,GPS_METADATA(160),160,,,,,,
48,1141983620,2026-03-09 10:40:20,46090.444675925930,-216419,0:00:02,0:00:02,RECORD(20),20,,,6.2,0:07:21,2.267,
49,1142200039,2026-03-11 22:47:19,46092.949525462960,216419,60:07:01,2:11:19,GPS_METADATA(160),160,,,,,,
50,1141983621,2026-03-09 10:40:21,46090.444687500000,-216418,0:00:03,0:00:03,RECORD(20),20,,,8.9,0:07:07,2.344,
51,1142200039,2026-03-11 22:47:19,46092.949525462960,216418,60:07:01,2:11:19,GPS_METADATA(160),160,,,,,,
52,1141983622,2026-03-09 10:40:22,46090.444699074070,-216417,0:00:04,0:00:04,RECORD(20),20,,,12.6,0:06:58,2.391,
53,1142200039,2026-03-11 22:47:19,46092.949525462960,216417,60:07:01,2:11:19,GPS_METADATA(160),160,,,,,,
54,1141983623,2026-03-09 10:40:23,46090.444710648150,-216416,0:00:05,0:00:05,RECORD(20),20,,,17.0,0:05:46,2.892,
55,1142200039,2026-03-11 22:47:19,46092.949525462960,216416,60:07:01,2:11:19,GPS_METADATA(160),160,,,,,,
56,1141983624,2026-03-09 10:40:24,46090.444722222220,-216415,0:00:06,0:00:06,RECORD(20),20,,,20.6,0:04:58,3.352,
57,1142200039,2026-03-11 22:47:19,46092.949525462960,216415,60:07:01,2:11:19,GPS_METADATA(160),160,,,,,,
58,1141983625,2026-03-09 10:40:25,46090.444733796290,-216414,0:00:07,0:00:07,RECORD(20),20,,,24.1,0:04:22,3.813,
59,1142200039,2026-03-11 22:47:19,46092.949525462960,216414,60:07:01,2:11:19,GPS_METADATA(160),160,,,,,,
60,1141983626,2026-03-09 10:40:26,46090.444745370370,-216413,0:00:08,0:00:08,RECORD(20),20,,,27.2,0:04:22,3.813,
61,1142200039,2026-03-11 22:47:19,46092.949525462960,216413,60:07:01,2:11:19,GPS_METADATA(160),160,,,,,,
62,1141983627,2026-03-09 10:40:27,46090.444756944446,-216412,0:00:09,0:00:09,RECORD(20),20,,,31.4,0:04:13,3.957,
63,1142200039,2026-03-11 22:47:19,46092.949525462960,216412,60:07:01,2:11:19,GPS_METADATA(160),160,,,,,,
64,1141983628,2026-03-09 10:40:28,46090.444768518515,-216411,0:00:10,0:00:10,RECORD(20),20,,,35.8,0:03:51,4.332,
65,1142200039,2026-03-11 22:47:19,46092.949525462960,216411,60:07:01,2:11:19,GPS_METADATA(160),160,,,,,,
66,1141983629,2026-03-09 10:40:29,46090.444780092590,-216410,0:00:11,0:00:11,RECORD(20),20,,,39.8,0:04:13,3.957,
67,1142200039,2026-03-11 22:47:19,46092.949525462960,216410,60:07:01,2:11:19,GPS_METADATA(160),160,,,,,,
68,1141983630,2026-03-09 10:40:30,46090.444791666670,-216409,0:00:12,0:00:12,RECORD(20),20,,,43.9,0:04:13,3.957,
69,1142200039,2026-03-11 22:47:19,46092.949525462960,216409,60:07:01,2:11:19,GPS_METADATA(160),160,,,,,,
70,1141983631,2026-03-09 10:40:31,46090.444803240740,-216408,0:00:13,0:00:13,RECORD(20),20,,,47.8,0:04:01,4.150,
71,1142200039,2026-03-11 22:47:19,46092.949525462960,216408,60:07:01,2:11:19,GPS_METADATA(160),160,,,,,,
